The length of genomes,OptimalSolution,BasicInsert,time2(ms),GreedyScaffoldFilling,time3(ms),LocalSearchScaffoldFilling,time4(ms),SLocalSearchScaffoldFilling(s = 2),time5(ms),SLocalSearchScaffoldFilling(s = 3),time6(ms)
130,87,63,1,78,2,80,28,81,982,82,12484 
130,88,64,2,78,3,80,15,81,329,82,8030 
130,82,55,1,78,1,80,22,81,558,82,13856 
130,85,63,0,74,1,80,16,81,318,82,7208 
130,89,63,1,83,2,85,21,86,554,87,17532 
130,85,62,1,77,1,79,14,80,391,81,10782 
130,84,56,0,78,1,80,21,81,553,82,17170 
130,85,63,0,79,2,81,16,82,471,83,12739 
130,85,62,1,71,3,73,5,74,74,75,1280 
130,88,67,1,81,2,83,9,84,201,85,4568 
