The length of genomes,OptimalSolution,BasicInsert,time2(ms),GreedyScaffoldFilling,time3(ms),LocalSearchScaffoldFilling,time4(ms),SLocalSearchScaffoldFilling(s = 2),time5(ms),SLocalSearchScaffoldFilling(s = 3),time6(ms)
200,139,107,2,131,4,133,494,134,6701,135,332555 
200,148,127,1,137,3,139,32,140,1206,141,46698 
200,144,116,1,127,3,133,58,134,1912,135,80380 
200,143,105,0,131,4,135,182,142,10474,143,459270 
200,144,116,0,136,3,138,52,139,2396,140,114589 
200,142,114,1,136,4,138,56,139,2232,140,101482 
200,141,104,1,126,3,134,125,138,7121,139,343745 
200,143,106,1,135,3,137,140,138,7431,139,449636 
200,143,116,1,137,3,139,57,140,2479,141,168574 
200,142,116,1,135,2,137,42,138,1648,139,70050 
