The length of genomes,OptimalSolution,BasicInsert,time2(ms),GreedyScaffoldFilling,time3(ms),LocalSearchScaffoldFilling,time4(ms),SLocalSearchScaffoldFilling(s = 2),time5(ms),SLocalSearchScaffoldFilling(s = 3),time6(ms)
110,73,47,1,69,1,71,9,72,302,73,5693 
110,73,51,1,69,1,71,9,72,148,73,2346 
110,71,48,0,67,2,69,11,70,183,71,3815 
110,69,46,0,63,1,65,14,66,233,67,4863 
110,74,51,1,68,3,70,8,71,160,72,3441 
110,76,56,0,68,1,70,5,71,54,72,689 
110,70,50,0,63,1,68,14,69,218,70,4636 
110,71,48,0,67,3,69,7,70,118,71,2217 
110,68,50,0,64,2,66,9,67,156,68,3103 
110,70,51,1,66,1,68,7,69,92,70,1710 
