The length of genomes,OptimalSolution,BasicInsert,time2(ms),GreedyScaffoldFilling,time3(ms),LocalSearchScaffoldFilling,time4(ms),SLocalSearchScaffoldFilling(s = 2),time5(ms),SLocalSearchScaffoldFilling(s = 3),time6(ms)
160,107,80,2,101,3,103,31,104,1427,105,12358 
160,106,74,1,100,2,102,32,103,1043,104,35446 
160,114,85,1,100,2,111,56,112,1226,113,43291 
160,108,77,2,99,2,106,39,107,1133,108,38001 
160,111,95,1,103,2,105,14,106,340,107,8672 
160,110,85,1,102,3,104,22,105,552,106,17494 
160,111,78,1,99,2,103,56,104,1553,105,56779 
160,108,82,1,96,5,102,57,103,1404,104,51172 
160,108,83,1,104,2,106,25,107,789,108,25963 
160,108,72,1,102,2,104,60,105,2068,106,74796 
