The length of genomes,OptimalSolution,BasicInsert,time2(ms),GreedyScaffoldFilling,time3(ms),LocalSearchScaffoldFilling,time4(ms),SLocalSearchScaffoldFilling(s = 2),time5(ms),SLocalSearchScaffoldFilling(s = 3),time6(ms)
150,102,69,2,92,2,94,98,95,2916,96,75456 
150,98,69,1,91,2,93,29,94,882,95,28961 
150,96,67,1,84,1,86,27,89,904,90,26109 
150,92,66,1,88,2,90,47,91,761,92,24016 
150,103,75,0,91,2,98,50,99,753,100,22547 
150,100,71,1,96,2,98,38,99,1050,100,37069 
150,100,75,1,92,1,94,19,95,477,96,12528 
150,99,73,1,95,3,97,50,98,1641,99,81109 
150,96,71,0,85,2,87,23,88,719,89,23730 
150,103,85,1,96,2,98,13,99,206,100,4240 
