The length of genomes,OptimalSolution,BasicInsert,time2(ms),GreedyScaffoldFilling,time3(ms),LocalSearchScaffoldFilling,time4(ms),SLocalSearchScaffoldFilling(s = 2),time5(ms),SLocalSearchScaffoldFilling(s = 3),time6(ms)
140,94,69,1,88,1,90,19,91,607,92,9192 
140,94,66,1,80,2,82,12,83,269,84,6484 
140,95,68,1,88,1,93,19,94,360,95,9522 
140,96,71,1,85,1,87,13,91,366,92,7910 
140,92,61,0,83,1,87,20,88,364,89,8739 
140,94,67,1,84,1,86,19,87,421,88,11150 
140,94,68,1,82,2,92,29,93,737,94,21629 
140,97,75,1,90,2,92,25,96,1014,97,27377 
140,93,71,2,84,2,89,9,90,163,91,3369 
140,93,70,1,85,2,87,25,88,422,89,11372 
